"sexe";"zep";"poids";"an";"mois";"taille";"IMC";"age"
"F";"O";16;3;5;1;16;3.4
"F";"O";14;3;10;0.97;14.9;3.8
"G";"O";13.5;3;5;0.955;14.8;3.4
"F";"O";15.4;4;0;1.01;15.1;4
"G";"N";16.5;3;8;1;16.5;3.7
"G";"O";16;4;0;0.985;16.5;4
"G";"N";17;3;11;1.03;16;3.9
"G";"O";14.8;3;9;0.98;15.4;3.8
"G";"O";17;4;1;1.015;16.5;4.1
"G";"O";16.7;3;3;1;16.7;3.2
"G";"O";15.5;3;7;0.985;16;3.6
"G";"O";15;3;9;1.01;14.7;3.8
"G";"O";14.5;3;9;0.94;16.4;3.8
"F";"N";16.8;4;0;1.03;15.8;4
"F";"O";16.2;4;1;1.015;15.7;4.1
"F";"O";14.7;3;9;0.985;15.2;3.8
"F";"O";16.5;4;1;1.03;15.6;4.1
"G";"O";15.1;3;9;1;15.1;3.8
"G";"O";15;4;0;1.01;14.7;4
"G";"O";15.5;4;1;1.03;14.6;4.1
"F";"O";15;4;6;1.02;14.4;4.5
"G";"O";16.8;3;5;1.015;16.3;3.4
"G";"O";19.8;3;7;1.075;17.1;3.6
"G";"O";15.5;3;9;1.045;14.2;3.8
"F";"O";17.8;4;1;1;17.8;4.1
"F";"O";16;4;3;1.02;15.4;4.2
"F";"O";15.2;3;10;1.035;14.2;3.8
"F";"O";18.6;3;9;1;18.6;3.8
"G";"O";16;4;2;1.09;13.5;4.2
"G";"O";18;4;1;1.06;16;4.1
"G";"N";17.5;3;6;1.025;16.7;3.5
"G";"O";16.5;4;3;1.04;15.3;4.2
"F";"O";14.8;4;1;0.97;15.7;4.1
"G";"O";18.4;4;3;1.06;16.4;4.2
"G";"O";17.6;4;2;1.075;15.2;4.2
"G";"O";18.8;3;10;1.075;16.3;3.8
"G";"O";16;4;1;1;16;4.1
"G";"O";18.5;3;6;1.07;16.2;3.5
"F";"O";14.6;3;8;0.95;16.2;3.7
"F";"O";14.7;3;10;0.97;15.6;3.8
"F";"O";10.5;3;8;0.885;13.4;3.7
"F";"N";15.2;3;11;0.97;16.2;3.9
"F";"O";15.5;3;6;1.01;15.2;3.5
"F";"O";14.5;4;0;0.96;15.7;4
"F";"O";16;4;3;0.98;16.7;4.2
"G";"O";16;4;3;0.99;16.3;4.2
"G";"O";13;4;0;0.955;14.3;4
"F";"O";15;3;10;0.98;15.6;3.8
"G";"O";15.8;3;7;1.01;15.5;3.6
"F";"O";13.6;4;4;1.01;13.3;4.3
"G";"O";17.7;3;10;1.04;16.4;3.8
"F";"N";14.8;3;8;0.97;15.7;3.7
"G";"O";18.8;4;0;1.03;17.7;4
"G";"O";17.5;4;0;1.055;15.7;4
"F";"O";16.2;4;1;1.055;14.6;4.1
"G";"O";17.6;3;10;1.045;16.1;3.8
"F";"O";17.4;3;6;0.965;18.7;3.5
"G";"O";15;3;3;0.98;15.6;3.2
"G";"O";22;3;11;1.07;19.2;3.9
"F";"O";17;3;2;1.03;16;3.2
"G";"O";14.5;3;4;0.98;15.1;3.3
"F";"O";16;3;9;1.03;15.1;3.8
"G";"O";12.7;3;9;0.95;14.1;3.8
"G";"O";19;3;7;1.115;15.3;3.6
"F";"O";16;4;0;0.995;16.2;4
"F";"O";14.5;3;10;0.94;16.4;3.8
"G";"N";17.3;4;1;1.04;16;4.1
"F";"O";12;3;3;0.905;14.7;3.2
"G";"O";13.3;3;7;0.95;14.7;3.6
"F";"O";16.7;3;4;1;16.7;3.3
"F";"O";18;3;9;0.99;18.4;3.8
"F";"O";16.6;3;4;0.98;17.3;3.3
"F";"O";17;3;4;1;17;3.3
"G";"O";19;3;10;1;19;3.8
"F";"O";16;3;3;0.98;16.7;3.2
"G";"N";17.2;3;11;1.055;15.5;3.9
"F";"O";17;3;4;1.005;16.8;3.3
"F";"O";15;3;9;1;15;3.8
"G";"O";17.6;3;10;1.05;16;3.8
"F";"O";17.6;4;0;1.025;16.8;4
"G";"O";15;3;3;0.98;15.6;3.2
"G";"O";15;3;6;1.01;14.7;3.5
"F";"O";14;3;5;0.97;14.9;3.4
"F";"O";14.5;3;11;0.945;16.2;3.9
"F";"N";18;3;6;1.01;17.6;3.5
"F";"O";16.8;3;6;0.93;19.4;3.5
"G";"O";14.5;3;2;0.92;17.1;3.2
"G";"O";17;3;3;0.99;17.3;3.2
"G";"O";19;3;4;1.07;16.6;3.3
"F";"O";18;3;3;1;18;3.2
"F";"O";12;3;2;0.9;14.8;3.2
"G";"O";17.5;3;7;0.97;18.6;3.6
"G";"O";17.4;4;0;1.01;17.1;4
"F";"O";15.8;3;9;1.03;14.9;3.8
"G";"O";17.5;3;10;1.03;16.5;3.8
"G";"O";15.5;3;9;0.97;16.5;3.8
"G";"O";14.5;3;2;0.955;15.9;3.2
"F";"O";15.7;3;9;0.975;16.5;3.8
"F";"O";19;3;10;1.09;16;3.8
"F";"O";22.8;3;9;1.06;20.3;3.8
"G";"O";22;4;4;1.075;19;4.3
"G";"O";16.4;3;7;0.99;16.7;3.6
"G";"O";18.7;3;10;1.095;15.6;3.8
"G";"O";16;4;3;1.045;14.7;4.2
"F";"N";17;4;3;1.05;15.4;4.2
"G";"O";16;3;10;1.01;15.7;3.8
"G";"O";16.3;4;3;1.03;15.4;4.2
"F";"O";19;4;1;1.03;17.9;4.1
"F";"O";19.4;4;5;1.08;16.6;4.4
"F";"O";15;3;9;1;15;3.8
"F";"O";15.5;3;9;1.005;15.3;3.8
"G";"O";15;3;4;1;15;3.3
"F";"O";19.4;3;10;1.06;17.3;3.8
