"hauteur";"circ";"bloc";"clone"
18.25;36;"sol_A";"autres"
19.75;42;"sol_A";"autres"
16.5;33;"sol_A";"autres"
18.25;39;"sol_A";"autres"
19.5;43;"sol_A";"autres"
16.25;34;"sol_A";"autres"
17.25;37;"sol_A";"autres"
19;41;"sol_A";"autres"
16.25;27;"sol_A";"autres"
17.5;30;"sol_A";"autres"
15.5;26;"sol_A";"autres"
19.75;35;"sol_A";"autres"
22;39;"sol_A";"autres"
18.25;31;"sol_A";"autres"
18.25;27;"sol_A";"autres"
20.5;35;"sol_A";"autres"
16;27;"sol_A";"autres"
18;35;"sol_A";"autres"
20.25;40;"sol_A";"autres"
19.75;41;"sol_A";"autres"
19;38;"sol_A";"autres"
19.75;38;"sol_A";"autres"
17.5;39;"sol_A";"autres"
21;42;"sol_A";"autres"
21.75;46;"sol_A";"autres"
23;56;"sol_A";"autres"
22.25;53;"sol_A";"DH"
23;54;"sol_A";"DH"
23;53;"sol_A";"DH"
19;38;"sol_A";"DH"
23.25;53;"sol_A";"DH"
24;59;"sol_A";"DH"
22;50;"sol_A";"DH"
19;38;"sol_A";"DH"
19.75;44;"sol_A";"DH"
22.25;43;"sol_A";"DH"
21.75;47;"sol_A";"DH"
23.25;54;"sol_A";"DH"
24.25;56;"sol_A";"DH"
23.25;56;"sol_A";"DH"
24.25;57;"sol_A";"DH"
24.5;58;"sol_A";"DH"
23;52;"sol_A";"DH"
22.5;52;"sol_A";"DH"
21.25;47;"sol_A";"DH"
19.75;44;"sol_A";"DH"
22.5;49;"sol_A";"DH"
18.75;37;"sol_A";"DH"
12.5;32;"sol_A";"DH"
18;35;"sol_A";"DH"
23.5;56;"sol_A";"DH"
24;58;"sol_A";"DH"
23.75;52;"sol_A";"DH"
23.75;54;"sol_A";"DH"
23.25;58;"sol_A";"DH"
21.25;43;"sol_A";"DH"
23.25;51;"sol_A";"DH"
20.5;40;"sol_A";"DH"
23.25;52;"sol_A";"DH"
22.25;46;"sol_A";"DH"
23.75;54;"sol_A";"DH"
24.75;56;"sol_A";"DH"
24.25;55;"sol_A";"DH"
21.25;46;"sol_A";"DH"
20.75;47;"sol_A";"DH"
19.75;43;"sol_A";"DH"
22.25;52;"sol_A";"DH"
20.25;40;"sol_A";"DH"
18.75;36;"sol_A";"DH"
21.25;47;"sol_A";"DH"
22;51;"sol_A";"DH"
19.75;39;"sol_A";"DH"
16.25;34;"sol_A";"DH"
21;48;"sol_A";"DH"
18.75;41;"sol_A";"DH"
21.75;48;"sol_A";"DH"
19.25;37;"sol_A";"DH"
19.75;43;"sol_A";"DH"
21.25;45;"sol_A";"DH"
22;50;"sol_A";"DH"
21.75;52;"sol_A";"DH"
20.25;45;"sol_A";"DH"
23.25;53;"sol_A";"DH"
18.25;35;"sol_A";"DH"
22.75;46;"sol_A";"DH"
20.75;41;"sol_A";"DH"
18.5;35;"sol_A";"DH"
21.75;43;"sol_A";"DH"
19.75;36;"sol_A";"DH"
23.75;56;"sol_A";"DH"
23.25;52;"sol_A";"DH"
22.5;49;"sol_A";"DH"
22.25;46;"sol_A";"DH"
22.25;47;"sol_A";"DH"
23.5;57;"sol_A";"DH"
24.25;61;"sol_A";"DH"
21.25;46;"sol_A";"DH"
22.5;54;"sol_A";"DH"
23;57;"sol_A";"DH"
21.75;49;"sol_A";"DH"
21.25;44;"sol_A";"DH"
22;44;"sol_A";"DH"
15.75;31;"sol_A";"DH"
21.5;42;"sol_A";"DH"
21.75;41;"sol_A";"DH"
21.25;41;"sol_A";"DH"
23;49;"sol_A";"DH"
20.75;38;"sol_A";"DH"
21;39;"sol_A";"DH"
22.25;43;"sol_A";"DH"
22.25;54;"sol_A";"DH"
22.75;53;"sol_A";"DH"
23.25;56;"sol_A";"DH"
21.25;46;"sol_A";"DH"
21.75;44;"sol_A";"DH"
22.75;55;"sol_A";"DH"
22.25;50;"sol_A";"DH"
19;36;"sol_A";"DH"
19.25;35;"sol_A";"DH"
23.75;56;"sol_A";"DH"
22.5;46;"sol_A";"DH"
23.25;52;"sol_A";"DH"
22.75;48;"sol_A";"DH"
23.25;51;"sol_A";"DH"
23.25;47;"sol_A";"DH"
22.75;50;"sol_A";"DH"
15.25;28;"sol_A";"DH"
23;49;"sol_A";"DH"
22.75;49;"sol_A";"DH"
22.75;46;"sol_A";"DH"
