Observation	Origine	Taille	Couleur	Sexe
1	M	135	1	1
2	M	144	0	1
3	M	153	0	2
4	M	152	1	2
5	L	136	0	1
6	L	145	0	1
7	L	135	1	1
8	L	141	1	1
9	M	145	0	2
10	M	163	1	1
11	L	125	0	2
12	M	151	0	2
13	L	120	0	2
14	L	117	1	2
15	M	144	0	2
16	L	156	1	1
17	L	111	1	2
18	M	140	0	1
19	L	129	0	1
20	M	148	1	1
21	M	141	0	2
22	M	167	0	2
23	M	151	0	1
24	M	149	0	2
25	L	139	1	2
26	M	128	0	2
27	M	149	0	1
28	L	171	1	2
29	L	115	0	1
30	L	148	1	1
31	M	155	0	1
32	L	153	1	1
33	M	138	1	1
34	L	166	1	2
35	L	126	1	1
36	L	150	1	1
37	L	140	1	1
38	M	137	0	2
39	M	147	0	1
40	M	152	0	1
41	L	162	0	1
42	M	160	1	2
43	M	132	1	2
44	M	168	0	1
45	M	146	0	2
46	L	147	1	2
47	L	125	0	2
48	L	125	1	2
49	L	132	1	2
50	L	132	0	1
51	L	149	0	2
52	M	153	1	1
53	M	162	1	1
54	L	166	0	2
55	L	117	1	2
56	L	136	1	1
57	M	144	0	2
58	L	145	0	2
59	L	138	0	2
60	L	147	1	2
61	M	137	0	1
62	L	132	0	1
63	M	146	1	1
64	M	160	1	2
65	M	179	1	2
66	M	150	0	1
67	M	142	0	2
68	M	136	1	1
69	M	141	1	2
70	M	148	1	2
71	M	142	1	2
72	L	129	0	1
73	L	127	1	2
74	M	161	1	2
75	M	143	1	1
76	M	158	0	1
77	M	150	0	1
78	M	145	1	2
79	L	102	1	1
80	L	116	1	1
81	M	145	1	2
82	M	149	1	2
83	M	152	0	2
84	L	98	0	2
85	M	150	0	1
86	M	156	1	1
87	M	149	1	1
88	M	167	1	2
89	M	154	0	1
90	M	145	0	1
91	M	150	1	1
92	L	135	1	2
93	M	143	1	1
94	L	147	1	1
95	L	139	0	2
96	L	141	0	1
97	M	161	1	2
98	M	157	0	2
99	M	141	1	2
100	M	160	1	2
101	M	135	0	1
102	M	148	1	1
103	L	169	0	1
104	M	153	0	2
105	M	147	0	2
106	M	156	1	1
107	L	137	0	2
108	L	165	0	2
109	M	146	1	1
110	M	161	0	2
111	L	150	1	2
112	M	137	0	1
113	M	163	1	1
114	M	154	0	2
115	M	163	1	1
116	M	150	0	2
117	M	146	0	1
118	M	146	1	2
119	M	150	1	1
120	L	161	0	2
121	L	123	0	1
122	M	162	1	1
123	L	145	1	2
124	M	160	1	1
125	M	159	0	2
126	L	154	0	2
127	L	111	0	1
128	L	121	0	1
129	M	144	1	2
130	M	146	0	1
131	M	157	0	2
132	M	166	1	1
133	M	160	0	1
134	M	144	1	1
135	M	142	0	2
136	M	156	0	1
137	M	145	0	2
138	L	149	0	2
139	M	139	0	1
140	L	144	1	2
141	M	162	1	2
142	M	156	0	1
143	L	149	1	2
144	M	151	1	1
145	M	134	0	1
146	M	159	0	2
147	L	142	1	1
148	L	139	1	1
149	L	117	1	1
150	L	127	1	2
151	M	154	0	1
152	M	159	1	1
153	M	154	0	1
154	M	151	1	1
155	M	146	1	2
156	L	113	0	1
157	M	151	0	2
158	L	146	1	1
159	M	142	1	1
160	M	154	1	1
161	L	132	1	2
162	M	161	0	2
163	M	155	1	2
164	L	140	0	2
165	M	173	1	1
166	L	151	0	1
167	M	156	0	1
168	M	158	0	2
169	M	149	0	1
170	L	132	0	1
171	L	137	0	2
172	L	119	0	2
173	L	152	1	1
174	M	148	0	1
175	M	144	0	2
176	M	143	1	1
177	L	162	0	1
178	L	132	1	1
179	M	159	1	2
180	M	140	1	2
181	M	152	0	2
182	M	163	0	1
183	L	133	1	2
184	L	148	1	1
185	M	156	0	2
186	M	152	0	2
187	L	150	0	2
188	M	157	0	1
189	M	129	1	2
190	M	146	0	2
191	M	159	1	1
192	L	113	0	2
193	M	141	0	1
194	M	162	0	1
195	M	140	0	1
196	M	163	1	1
