"year";"length";"budget";"rating";"votes"
"Manhattan Baby";1982;89;300000;4;196
"Wilson";1944;154;4000000;6.8;158
"Spirit: Stallion of the Cimarron";2002;86;80000000;6.4;2738
"Garden of Allah, The";1936;79;2200000;6.2;139
"Game, The";1997;128;50000000;7.6;28099
"Wraith, The";1986;93;2700000;4.9;1291
"Private Parts";1997;109;20000000;6.6;9289
"Double Indemnity";1944;110;927262;8.5;11592
"Killing Box, The";1993;80;1200000;4;127
"Urban Legends: Final Cut";2000;97;15000000;3.8;3280
"Spaceman";1997;88;50000;4.7;67
"Not as a Stranger";1955;135;2000000;6.6;223
"Tears of the Sun";2003;121;70000000;6.2;8690
"Legally Blonde";2001;96;18000000;6.4;17572
"Heartbreakers";2001;110;40000000;6.2;8037
"Green Berets, The";1968;141;7000000;4.9;1851
"Cable Guy, The";1996;96;47000000;5.5;16266
"She's Gotta Have It";1986;88;160000;6.3;1034
"Children Shouldn't Play with Dead Things";1972;87;70000;4.4;413
"Dead End Road";2004;94;100000;5.8;5
"War Hunt";1962;83;300000;6.3;95
"Espera, La";2002;72;100000;8.8;15
"Dead Heat on a Merry-Go-Round";1966;104;2000000;6;167
"Dirigible";1931;100;650000;5.9;48
"Terminal, The";2004;128;60000000;7.1;15809
"Breathing Room";1996;90;500000;4;39
"Lawrence of Arabia";1962;227;15000000;8.6;31230
"War Lord, The";1965;123;3500000;6.8;393
"Annie Get Your Gun";1950;107;3768785;7.2;529
"Monster from the Ocean Floor";1954;51;12000;2.6;49
"Gentleman's Agreement";1947;118;2000000;7.4;1173
"Soldiers Pay";2004;35;180000;7;34
"Casshern";2004;141;5000000;6.5;1237
"Death of Daniel Whately, The";2004;111;5000;6.6;5
"Child's Play";1988;87;19000000;5.9;4250
"Wide Awake";1998;88;7000000;6;655
"Mama";1999;100;3000000;6;66
"Night Shadows";1984;99;2500000;3.8;134
"Fei ying";2004;99;15000000;5.5;128
"Identity";2003;90;30000000;7.3;18747
"Chain Reaction";1996;106;55000000;5.1;5936
"Dreamer: The Movie";2004;93;23500;9;7
"Field of Honor, A";1973;15;1400;7.7;32
"Live and Let Die";1973;121;7000000;6.6;8022
"Joy";1983;102;2000000;5;49
"Student Nurses, The";1970;89;150000;3.4;29
"Jabberwocky";1977;105;500000;6;2109
"Squeeze";1997;102;155000;4.9;57
"Singing Detective, The";2003;109;10000000;5.3;1184
"Legend of Razorback, The";2002;25;50000;5.1;29
"Double Impact";1991;109;16000000;4.5;2749
"Gunrunner, The";1984;78;2000000;3.2;84
"In & Out";1997;92;35000000;6.2;10352
"Yes and";2004;92;5000;8.5;10
"His/Herstory";2003;20;33000;7.6;5
"Follow Me Outside";2000;94;1000000;4.6;12
"They Live";1988;93;4000000;6.5;5131
"Absolution";2001;23;13000;1.6;8
