cidre	;	odeur	;	sucre	;	 acide	;	amer	;	astringence	;	suffocante	;	piquante 	;	alcool 	;	parfum 	;	fruitee		
1	;	2.14	;	1.86	;	3.29	;	2.29	;	2.00	;	0.14	;	2.29	;	1.86	;	1.29	;	1.29		
2	;	2.43	;	0.79	;	2.71	;	2.57	;	2.00	;	0.43	;	2.57	;	2.86	;	0.43	;	0.14		
3	;	2.71	;	3.14	;	2.57	;	2.57	;	1.43	;	0.14	;	2.14	;	0.86	;	2.29	;	1.71		
4	;	3.00	;	3.71	;	2.14	;	2.07	;	1.57	;	0.00	;	1.29	;	1.00	;	3.14	;	3.14		
5	;	3.43	;	1.29	;	2.86	;	3.14	;	2.17	;	1.00	;	1.86	;	2.86	;	1.14	;	0.29		
6	;	3.14	;	0.86	;	2.86	;	3.79	;	2.57	;	0.14	;	1.71	;	3.29	;	0.14	;	0.00		
7	;	3.14	;	1.14	;	2.86	;	2.86	;	2.00	;	0.43	;	1.71	;	1.86	;	0.14	;	0.00		
8	;	2.43	;	3.71	;	3.21	;	1.57	;	1.71	;	0.00	;	1.00	;	0.57	;	2.57	;	2.86		
9	;	5.10	;	2.86	;	2.86	;	3.07	;	1.79	;	1.71	;	0.43	;	1.43	;	0.57	;	2.71		
10	;	3.07	;	3.14	;	2.57	;	3.00	;	2.00	;	0.00	;	0.43	;	1.29	;	2.57	;	3.07		
